Timestamp,Enter your codename here,What is your position?,Please select all of the following for which you have some experience,"If you have programming experience, list languages to you are comfortable with.","If you have experience with image preprocessing software, please select which software ","If you have experience with image processing or analysis, which types of images?","If you have experience with statistical analysis, what are your preferred statistical softwares, engines or languages?",What operating system do you most prefer?,Were you born in the Netherlands?,List the languages you speak (conversationally),"If you had to choose one, what would be your favorite type of beer?",How spicy do you like your food?,What are your thoughts on the oxford comma?,"What color is this dress? (If you're familiar with this image, what color did you think it was when you first saw it)",Name a really popular food that you don't like,Name the first five animals you can think of,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any?",How many romantic relationships have you been in that have lasted at least 6 months,Pick a number from 1 to 100,How many siblings do you have?,Do you feel sleepy a lot?,How many continents have you visited,How many cities have you lived in for at least six months,Do you have any food allergies or intolerances?,"Have you ever practiced any non-allergy based dietary restrictions (e.g. vegetarian, gluten-free, vegan, etc)",Fill this text box with gibberish by mashing random keyboard keys,How good do you think you are a driving (3 is average),Can you roll your tongue?,What color are the walls around you right now?,What's your favorite color?,What kind of cell phone do you have,Do you usually remember your dreams?,Use an emoji to describe how you feel about emojis,Do you strongly dislike the taste or texture of any of the following things?,Which of these do you regularly drink?,Do you ever eat/drink condiments straight from the bottle/can?,Type 5 random (English) words,Are you nervous about flying?,Which of these would you consider a sandwich?,Would you say you have a good sense of direction?,Can you whistle?,"Assuming you stayed relatively healthy but aged normally, how old would you want to live to be?",Exactly how far in km is your commute to work?,What style of music do you most prefer?,Pick another number from 1 to 100,Do you often go to bed later than you wanted to?,How many hours of sleep do you typically get on week days,Use one word to describe what you think of Donald Trump,What are the chances (in percentage from 1-100) that the Dutch National team will win a EuroCup or WorldCup championship in the next 10 years?,What time is it right now?,How good are you at sports?,What do you think of beards?,Was this survey too long for you?
2017/01/26 4:41:24 PM GMT+2,newby,PostDoc,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Basic statistical analysis,"Have been mostly using Matlab, but have taken courses on C++ and Fortran",SPM;PMOD,PET;Task fMRI,SPSS,Windows,No,"Portuguese, Spanish, English, and een beetje Nederlands","Amber, Red or Brown Ale",4,I use the oxford comma,Blue and Black,zuurkoolstamppot,"lion, hippo, giraffe, zebra, penguin",Warmer,Depends if you're colorblind or not,Some.,48.0,4,No,2,5,No,No,oeifc;FDKRIJGRQ,4,Yes,Dirty. They are dirty colored.,white,Android,Yes,B-),Chocolate ice cream,Coffee;Beer;Wine;Tea;Water,Yes,"blob, feather, finger, jockey, lantern",No,Open-faced sandwich,No,No,Exactly 100 years.,39.8,Alternative/Indie,54,No,7,Wrong.,15,15:41,4,I like them!,No
2017/01/26 5:28:15 PM GMT+2,codename,PhD Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Analyzing neuroimaging data;Python;Basic statistical analysis,"bash, python (basic user)",Freesurfer;FSL,Structural MRI (Qualitative);Structural MRI (Quantitative);Resting-state fMRI;ASL,"SPSS, R",Mac OS,No,"English, Italian, Dutch",Pale Ale or IPA,4,I use the oxford comma,both options,gelatin,"dog, dolphin, monkey, horse, butterfly",Warmer,green,1,17.0,1,No,2,6,No,No,blasfbeifnàweGn,3,No,white,red,iPhone,Yes,:S,,Coffee;Beer;Wine;Tea;Water,No,,No,Sub/Hoagie;Cheesesteak;Burger;Hot dog;Open-faced sandwich,No,No,101,58,Rock,87,Yes,6,dangerous,2%,16:20,3,I like them!,Yes
2017/01/26 5:44:50 PM GMT+2,CDX506,PhD Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Graph theory;Python;Basic statistical analysis,"matlab, R",Freesurfer;SPM,Structural MRI (Qualitative);Structural MRI (Quantitative),"R, SPSS",Linux/Unix,No,"English, German",Hefeweizen or Belgian,4,I most certainly do NOT use the oxford comma,White and gold,goat cheese,"rabbit, dog, cat, pig, whale",Warmer,brown,1,56.0,1,No,1,3,No,No, uygfj rjhjrsy,3,Yes,white,blue,iPhone,Yes,:(,,Coffee;Tea;Water,Yes,"gibberish, boat, dictionary, size, food",No,Sub/Hoagie;Open-faced sandwich,No,Yes,100+,5.5,Rock,26,Yes,7,disgusting,,16:43,1,I like them!,Yes
2017/01/26 6:11:12 PM GMT+2,kees,PhD Student,"Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Multivariate data analysis (e.g. Clustering, PCA, ICA, CCA, LDA) or Machine learning (e.g. SVM) techniques;Graph theory;Basic statistical analysis","bash, matlab",Freesurfer;SPM;FSL,Structural MRI (Qualitative);Structural MRI (Quantitative),"R, SPSS",Mac OS,Yes,"English, Dutch, French",Hefeweizen or Belgian,3,I most certainly do NOT use the oxford comma,White and gold,Ginger,"cat, dog, elephant, horse, goldfish",Warmer,green,1,47.0,2,No,3,4,No,No,hfuehfjkehriuwenscfhwui erzw ih 38wC FUH wuzro9ecnzf8eufzhjkesfhwi7364219rhkwhfuishfuegt8w3zrfhkwefhiuwezriwehfuwegfiu3gFUWGFUIWEHFqu240218o9fhuragf7wezf9wehfwkug8w3zr93hrfukhf9q8e90q2zr7w4grhgoewur893zruhfiwezt893tz84gihgfw97zr83hrueirge48gh49ztq98fzhouwhg84q9gzh4oi4gh83tzfowhbvikewguiwehfiewhfiewuzf893tzirgb4uitz89th4ukgh74tz34ijrf97ruo23cn8vbbzvnb7vnw48b5nveirzuo3wnb5vnoq4ntva noaib tairbt pv8ani n9voaiwt nv9aoitnoviw7b9vonwibv290anow7 b209ow8nvwouriowzt94urgih485758ui4ghui4z50b82vn9eosb nvoaiebt naeiru9novaéiu vnoia9t2nouvaiu9naouvitn924aouvin9qaouvn290 qaouv2bvn9oqu0n29vo2nv90èqoat2n0q9èvoav q209nonè 20q9o t09nqvo q0n8ove b0nqpouv n0q9èovn q209ov neouv tnv903oq n03q4uo8ve n093qouve n80qt3opv 70nq3t8puvo0 nq7p83tuv7 nq08tu3v7n q083uvon70gggg,1,Yes,white,blue,iPhone,No,:|,,Coffee;Wine;Tea;Water,Yes,"laugh, download, brain, serial, experience",No,Sub/Hoagie;Burger;Hot dog;Open-faced sandwich,Yes,Yes,81,2.7,Pop,88,Yes,7,haha,11,17:11,1,Nope.,Yes
2017/01/26 6:41:52 PM GMT+2,LuckDr@gon,PhD Student,"Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Multivariate data analysis (e.g. Clustering, PCA, ICA, CCA, LDA) or Machine learning (e.g. SVM) techniques;Graph theory;Python;Basic statistical analysis;Git","Python, R, Matlab",Freesurfer;SPM;FSL;ANTs,PET;Structural MRI (Qualitative);Resting-state fMRI;ASL,"JMP, R",Mac OS,No,English,Pale Ale or IPA,4,I use the oxford comma,Blue and Black,Eggplant,"Zebra, Wolf, Tiger, Antelope, Alligator",Warmer,Brown,3,69.0,1,Yes,4,5,No,No,fh dtumtyiufyiutfyhcgvhnc zdrx578tuov,4,No,White,Red,Android,Yes,;-),Carbonation (or fizz),Beer;Wine;Tea;Water,No,"Candlestick, apothecary, wine, excrement, fillibuster",A little bit,Sub/Hoagie;Cheesesteak;Burger,No,Yes,88,3.5 km,Rock,34,Yes,7,Trouble,9,17:41,3,I like them!,No
2017/01/26 6:50:08 PM GMT+2,E,PostDoc,Computer programming in any language;Basic statistical analysis;Git,R-programming - I tend not ,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,"first R, second SPSS, very limited expercience STATA and Latent Gold. ",Windows,Yes,"Dutch, English","Pilsner, Lager or Bock",5,WTF is the oxford comma?,White and gold,hot chocolate,"Dog, Cat, Rabbit, Lion, Fish",Cooler,t-shirt and cardigan,2,56.0,3,No,5,4,Yes,No,"290 435=32958-=39421=3 21=
 [ elkl;e""FKwer 4R9321-49=2130129=1-`032=-ERO
w]dl :""|DL¶´ÉÐ\WEL",3,Yes,white,purple,iPhone,Yes,:),,Caffeinated soda;Non-affeinated soda;Coffee;Beer;Wine;Tea;Water,Yes,"Ass, phone, water, wallet, pen, windows",A little bit,Quesadilla;Sub/Hoagie;Burger;Hot dog;Open-faced sandwich,Yes,Yes,90,5,Electronic,70,Yes,8,narcistic,60,17:49,1,Nope.,Yes
2017/01/26 11:00:20 PM GMT+2,HATEIPA,Senior Scientist/Professor,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Basic statistical analysis;Git,"I can manage in some, am comfortable in none",Freesurfer;SPM;FSL,PET;Structural MRI (Qualitative);Structural MRI (Quantitative);Resting-state fMRI;ASL,"SPSS (!), SPM, Matlab",Mac OS,Yes,"Dutch, English, German, French",Hefeweizen or Belgian,4,I use the oxford comma,White and gold,Poutine,"Crocodile, snake, dog, tiger, leopard",Cooler,blue,1,8.0,3,Yes,5,3,No,No,njefnefruru;hfoihwe ;oihfewh fio;hweiofh io;ewhfo;ewhfoi;hwei;ohfiow hfo;hewihf,5,Yes,white,blue,iPhone,No,;-),,Coffee;Fruit juice;Beer;Wine;Tea;Water,Yes,"jolly, heteroscedasticity, apple, tremor, Obamacare",No,Burger;Hot dog;Open-faced sandwich,Yes,No,120,4.9,Classical/Jazz,10,Yes,5,dangerous,2,22:00,4,I'm neutral about beards.,Yes
2017/01/28 1:34:59 PM GMT+2,Snorlax,PhD Student,Using a terminal (including Linux/Unix or a Mac OS Terminal);Computer programming in any language;Processing neuroimaging data;Analyzing neuroimaging data;Graph theory;Python;Basic statistical analysis,,Freesurfer;SPM;FSL,Structural MRI (Quantitative);Resting-state fMRI;Task fMRI;DTI,SPSS and R,no preference,Yes,"Dutch, English",I don't like/drink beer,2,I use the oxford comma,Blue and Black,sushi,Cat dog fish elephant bird,Warmer,grey,3,83.0,2,Yes,2,2,No,No,jkalkjfhsdlfhgzlskgkjsa,1,Yes,white,blue,Android,Yes,xD,,Coffee;Wine;Tea;Water,Yes,Random hello food earth bye,A little bit,Open-faced sandwich,No,Yes,85,9.3,Pop,88,Yes,9,bad,65,12:34,4,I'm neutral about beards.,No
2017/01/30 12:05:44 PM GMT+2,CogNeuroStudent,Master's Student,Computer programming in any language;Python,Matlab,Freesurfer,I don't have experience with image processing or analysis,,Mac OS,Yes,Dutch English,Hefeweizen or Belgian,1,WTF is the oxford comma?,White and gold,Kale mash,"Snake, Monkey, Cat, Dog and Mouse",Warmer,blue,1,58.0,2,No,2,3,No,No,kajdfkahfieceaiciahiuhianviuahaelhceucahebllaibeulcuehlhslkncneslauncclnuaeij,3,Yes,White,Red,iPhone,No,:D,Carbonation (or fizz);Coffee,Beer;Tea;Water,No,Table anxious road spider important,No,Open-faced sandwich,Yes,No,90,"7,3",Pop,62,Yes,7.5,Terrifying,40,11:04,4,Nope.,No
2017/01/30 12:33:43 PM GMT+2,999,Research assistant,Computer programming in any language;Basic statistical analysis,Delphi,I don't have experience with image preprocessing,I don't have experience with image processing or analysis,SPSS,Mac OS,Yes,"Dutch, English",Hefeweizen or Belgian,2,I use the oxford comma,Blue and Black,Celery,"Dog, Cat, Horse, Fly, Guinia pig",Warmer,Blue,2,38.0,1,No,3,5,No,No,fuahfslfha,2,No,White,Blue,iPhone,No,<3,Broccoli,Coffee;Beer;Wine;Tea;Water,Yes,type five random english words,A little bit,Sub/Hoagie;Burger;Hot dog;Open-faced sandwich;Pita,No,No,90,"2,4km",Alternative/Indie,54,No,8,Bizarre,20,11:33,4,I'm neutral about beards.,Yes
