,donor,sample,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,gabe_label,mni_nlin_x,mni_nlin_y,mni_nlin_z
0,10021,20,4263,17,5707,CX,CA1,"CA1 field, right",1001646,77,89,116,19.5,-42.4,4.3,H0351.2002,21.8763854439636,-42.36325962250329,4.71040157447649
1,10021,21,4264,17,5715,CX,CA2,"CA2 field, right",1001641,75,86,115,21.7,-41.2,7.7,H0351.2002,23.89915152018869,-40.87905050008351,8.17652375258519
2,10021,22,4265,17,5723,CX,CA3,"CA3 field, right",1001496,76,86,115,20.6,-41.2,7.7,H0351.2002,22.7032247142092,-40.994059738762296,8.301460324065731
3,10021,23,4266,17,5731,CX,CA4,"CA4 field, right",1001475,76,87,115,20.6,-41.2,6.6,H0351.2002,22.928778680352,-41.054804183158495,7.1418313847951
4,10021,24,4267,17,5739,CX,DG,"dentate gyrus, right",998739,75,87,115,21.8,-41.2,6.6,H0351.2002,24.1153671122647,-40.9621189176104,7.018703969322621
5,10021,525,4258,13,5905,CX,DG,"dentate gyrus, left",1027911,119,104,92,-27.7,-17.6,-15.8,H0351.2002,-30.0606350359133,-17.0080064110538,-17.8044033676114
6,10021,526,4257,13,5897,CX,CA4,"CA4 field, left",1029991,118,104,92,-26.6,-17.6,-15.8,H0351.2002,-28.8096343532304,-17.1528906505442,-17.827364663501
7,10021,527,4255,13,5889,CX,CA2,"CA2 field, left",1027904,117,100,92,-25.5,-17.4,-11.1,H0351.2002,-27.75552464784869,-17.6193227313503,-13.099762012605801
8,10021,528,4254,13,5881,CX,CA1,"CA1 field, left",1027902,122,106,91,-31.0,-16.7,-18.2,H0351.2002,-33.6341148679169,-15.5689710607605,-20.3622306463433
9,10021,529,4251,13,5873,CX,S,"subiculum, left",1027901,114,109,91,-22.0,-16.6,-21.8,H0351.2002,-23.591102156211505,-15.5657002662322,-23.6572108843748
10,10021,532,4258,15,5828,CX,DG,"dentate gyrus, left",1013074,117,97,108,-25.3,-34.7,-6.0,H0351.2002,-28.284227630071697,-34.6420967357865,-7.79344620378316
11,10021,533,4257,15,5820,CX,CA4,"CA4 field, left",1013076,116,97,108,-24.2,-34.7,-6.0,H0351.2002,-27.235160685939398,-34.3738572130365,-7.60124555636757
12,10021,534,4256,15,5812,CX,CA3,"CA3 field, left",1013075,118,97,108,-26.4,-34.8,-6.0,H0351.2002,-29.333853241469694,-34.886643849321,-7.97516084423433
13,10021,535,4254,15,5796,CX,CA1,"CA1 field, left",1013078,119,99,108,-27.5,-34.9,-8.3,H0351.2002,-30.2078439609073,-34.9914082261943,-10.5390343008422
14,10021,536,4251,15,5788,CX,S,"subiculum, left",1013079,111,98,108,-18.6,-34.7,-7.1,H0351.2002,-21.6633317617316,-33.5465043756204,-8.24955544830881
15,10021,539,4263,15,5772,CX,CA1,"CA1 field, right",1025433,73,100,105,24.0,-30.8,-9.7,H0351.2002,26.2105291755412,-30.3310771019664,-10.817126570260902
16,10021,545,4267,15,5811,CX,DG,"dentate gyrus, right",1011787,75,97,105,21.7,-30.7,-6.2,H0351.2002,23.4128125485144,-30.298052965631104,-7.60648415113929
17,10021,546,4266,15,5803,CX,CA4,"CA4 field, right",1011834,74,98,105,22.9,-30.7,-7.4,H0351.2002,24.6988474370733,-30.219962037119604,-8.589005659911692
18,10021,547,4265,15,5795,CX,CA3,"CA3 field, right",1011789,72,98,105,25.1,-30.7,-7.4,H0351.2002,27.076019779894896,-30.1593164001575,-8.53988342125017
19,10021,548,4264,15,5857,CX,CA2,"CA2 field, right",1011790,69,98,105,28.5,-30.6,-7.4,H0351.2002,30.8623778911378,-30.2686817282312,-8.72433620504084
20,10021,549,4263,15,5787,CX,CA1,"CA1 field, right",1011791,74,100,105,22.9,-30.8,-9.7,H0351.2002,25.059511945552,-30.2617582986963,-10.6953406786101
21,10021,558,4258,14,5786,CX,DG,"dentate gyrus, left",1007812,119,98,102,-27.6,-28.3,-7.7,H0351.2002,-30.1650136488218,-27.5741419288225,-9.27463606631708
22,10021,559,4254,14,5849,CX,CA1,"CA1 field, left",1007815,122,99,102,-31.0,-28.4,-8.9,H0351.2002,-33.93669640440509,-27.645685952628607,-10.624294776358001
23,10021,560,4251,14,5841,CX,S,"subiculum, left",1007816,114,99,103,-22.0,-29.3,-8.8,H0351.2002,-24.505261023939696,-28.683210571554696,-10.597178860532699
24,10021,562,4267,14,5825,CX,DG,"dentate gyrus, right",1009274,69,106,94,28.4,-18.9,-17.9,H0351.2002,30.378493485701103,-19.658867630443197,-19.1700819292586
25,10021,563,4266,14,5817,CX,CA4,"CA4 field, right",1009275,68,106,94,29.5,-18.9,-17.9,H0351.2002,31.63928683534009,-19.4606627665742,-19.1158989539267
26,10021,564,4265,14,5809,CX,CA3,"CA3 field, right",1009273,67,106,94,30.6,-18.9,-17.9,H0351.2002,32.89856757095411,-19.3047553806402,-19.0884514678912
27,10021,565,4264,14,5801,CX,CA2,"CA2 field, right",1009276,65,105,94,32.9,-18.8,-16.7,H0351.2002,35.50092887491791,-18.861229174629397,-17.764363608247002
28,10021,566,4263,14,5793,CX,CA1,"CA1 field, right",1009277,65,107,94,32.9,-18.9,-19.0,H0351.2002,35.39235731553261,-19.295419401988198,-20.4771783039495
29,10021,567,4260,14,5785,CX,S,"subiculum, right",1009278,73,108,94,23.9,-19.1,-20.2,H0351.2002,25.427167706458807,-20.09042740473789,-21.701029686213303
30,10021,648,4267,13,7065,CX,DG,"dentate gyrus, right",1025587,71,106,91,26.1,-15.7,-18.2,H0351.2002,27.694690610730802,-16.9244480511335,-19.63635654152861
31,10021,730,4265,16,7376,CX,CA3,"CA3 field, right",1032337,80,99,108,16.2,-34.1,-8.3,H0351.2002,18.191103488315,-33.560473387906896,-8.98314534318963
32,10021,736,4256,16,7421,CX,CA3,"CA3 field, left",1025259,116,95,111,-24.2,-37.9,-3.3,H0351.2002,-27.31560364891261,-38.7630486967457,-5.49340593610225
33,10021,754,4264,16,7368,CX,CA2,"CA2 field, right",1032306,76,98,108,20.7,-34.0,-7.1,H0351.2002,22.75457058519569,-33.3653792735362,-7.83518037240718
